method_id,method_name,description,category,file_path,line_number,type
MTH-F4182DFB,createWebsocketSubscription,No description,CODE_JAVASCRIPT,helpers.ts,3,FUNCTION
MTH-5DFC0B57,deleteWebsocketSubscription,No description,CODE_JAVASCRIPT,helpers.ts,24,FUNCTION
