method_id,method_name,description,category,file_path,line_number,type
MTH-5C07FCB8,selectedFields,No description,CODE_JAVASCRIPT,update-partnership.ts,91,FUNCTION
MTH-5C07FCB8,selectedFields,No description,CODE_JAVASCRIPT,update-partnership.ts,196,FUNCTION
